差不注ワード,注記
表日本,差別用語/地域差別(差不注DB)
不具合,OK/障害者差別(差不注DB)
不具者,差別用語/障害者差別(差不注DB)
不細工,不快語/容姿(QC資料)
浮浪者,➡路上生活者、野宿者、ホームレス/職業差別(差不注DB)
父兄会,➡保護者会/性差別(差不注DB)
部落民,要注意/部落差別(差不注DB)
服地屋,要注意（軽視的表現）/職業(QC資料)
物乞い,要注意（軽視的表現）/職業(QC資料)
保健婦,➡保健師/性差別(差不注DB)
宝石屋,OK/職業(QC資料)
帽子屋,OK/職業(QC資料)
未亡人,差別用語/性差別(差不注DB)
密告屋,要注意（軽視的表現）/職業(QC資料)
明き盲,差別用語/障害者差別(差不注DB)
盲打ち,差別用語/障害者差別(差不注DB)
盲腸炎,OK/障害者差別(差不注DB)
盲滅法,差別用語/障害者差別(差不注DB)
盲目的,差別用語/障害者差別(差不注DB)
盲聾者,OK/障害者差別(差不注DB)
蒙古症,差別用語/病気差別(差不注DB)
野蛮人,差別用語/人種民族(QC資料)
野非人,歴史語/部落差別(差不注DB)
郵便屋,要注意（軽視的表現）/職業(QC資料)
裏日本,差別用語/地域差別(差不注DB)
旅籠屋,要注意（軽視的表現）/職業(QC資料)
料理屋,要注意（軽視的表現）/職業(QC資料)
労務者,➡労働者など/職業差別(差不注DB)
聾学校,OK/障害者差別(差不注DB)
旃陀羅,歴史語/部落差別(差不注DB)
穢多村,差別用語/部落差別(差不注DB)
おし,差別用語/障害者差別(差不注DB)
キ印,差別用語/障害者差別(差不注DB)
ゲイ,要注意/性差別(差不注DB)
サツ,要注意（軽視的表現）/職業(QC資料)
チナ,差別用語/地域差別(差不注DB)
チノ,差別用語/地域差別(差不注DB)
チビ,不快語/障害(QC資料)
ちび,不快語/障害者差別(差不注DB)
デブ,不快語/容姿(QC資料)
でぶ,不快語/容姿(QC資料)
ドヤ,要注意/職業差別(差不注DB)
パキ,➡パキスタン/地域差別(差不注DB)
ブス,不快語/容姿(QC資料)
ぶす,不快語/容姿(QC資料)
ホモ,差別用語/性差別(差不注DB)
レズ,差別用語/性差別(差不注DB)
闇屋,歴史語/職業(QC資料)
夷狄,歴史語/人種民族差別(差不注DB)
隠亡,差別用語/部落差別(差不注DB)
隠坊,差別用語/部落差別(差不注DB)
雲助,差別用語/職業差別(差不注DB)
餌取,歴史語/部落差別(差不注DB)
煙亡,差別用語/部落差別(差不注DB)
下女,要注意（軽視的表現）/職業(QC資料)
下男,要注意（軽視的表現）/職業(QC資料)
家柄,要注意/部落差別(差不注DB)
